name,address,phone_number,rating
강릉 경포 호텔 마레,강원도 강릉시 창해로 443,0336477201,4.5
인사동 나인트리,서울특별시 종로구 인사동길 49,022345678,4.8
강릉 더홍씨호텔,강원도 강릉시 교동광장로100번길 8,0336418011,4.8
홍천 비발디 파크,강원특별자치도 홍천군 서면 한치골길 262,1588-4888, 4.5
